36.928,48.625,-126.334,327.834,9.563,10.019,32.406,-0.743,-0.813,-0.249,287.253,0.990,1013.160,0.998,341.180,96.745,1022.527,0.998,NaN,1015.000
36.929,48.626,-126.334,327.869,9.561,10.018,32.406,-0.831,-0.891,-0.328,287.322,0.990,1013.981,0.999,341.277,96.767,1023.362,0.999,NaN,1016.000
36.931,48.626,-126.334,327.910,9.560,10.017,32.406,-0.832,-1.000,-0.438,287.354,0.991,1014.956,1.001,341.333,96.787,1024.351,1.001,NaN,1017.000
36.932,48.626,-126.333,327.932,9.561,10.017,32.407,-0.868,-0.940,-0.378,287.537,0.991,1015.144,1.001,341.558,96.844,1024.553,1.001,NaN,1018.000
36.933,48.626,-126.333,327.947,9.561,10.017,32.406,-0.858,-0.986,-0.424,287.544,0.991,1015.531,1.001,341.564,96.856,1024.957,1.001,NaN,1019.000
36.935,48.626,-126.333,328.059,9.560,10.018,32.406,-0.825,-0.532,0.034,287.691,0.992,1012.375,0.997,341.737,96.899,1021.818,0.997,NaN,1020.000
36.936,48.626,-126.333,328.070,9.560,10.017,32.406,-0.733,-0.521,0.046,287.458,0.991,1011.477,0.996,341.453,96.818,1020.940,0.996,NaN,1021.000
36.938,48.625,-126.333,328.142,9.560,10.017,32.406,-0.709,-1.071,-0.510,287.245,0.990,1015.145,1.001,341.202,96.745,1024.627,1.001,NaN,1022.000
36.939,48.625,-126.333,328.209,9.558,10.019,32.406,-0.743,-1.446,-0.890,287.451,0.991,1018.882,1.005,341.467,96.820,1028.384,1.005,NaN,1023.000
36.940,48.625,-126.334,328.368,9.559,10.022,32.405,-0.751,-1.270,-0.713,287.921,0.992,1019.133,1.005,342.059,96.989,1028.654,1.005,NaN,1024.000
36.942,48.625,-126.340,328.856,9.559,10.024,32.404,-0.753,-1.476,-0.921,288.090,0.993,1021.395,1.008,342.273,97.075,1030.937,1.008,NaN,1025.000
36.943,48.626,-126.349,329.565,9.557,10.026,32.402,-0.752,-1.263,-0.707,288.509,0.994,1021.069,1.007,342.783,97.206,1030.631,1.007,NaN,1026.000
36.944,48.627,-126.359,330.290,9.557,10.029,32.400,-0.817,-1.345,-0.790,288.465,0.994,1021.579,1.008,342.747,97.203,1031.161,1.008,NaN,1027.000
36.946,48.627,-126.368,331.002,9.561,10.034,32.398,-0.847,-1.331,-0.776,288.490,0.994,1021.630,1.008,342.769,97.216,1031.231,1.008,NaN,1028.000
36.947,48.628,-126.378,331.729,9.560,10.037,32.396,-0.855,-1.371,-0.896,288.419,0.994,1021.683,1.008,342.682,97.200,1031.303,1.008,1.000,1029.000
36.949,48.629,-126.387,332.452,9.566,10.045,32.398,-0.723,-1.639,-1.166,288.218,0.993,1023.308,1.010,342.434,97.151,1032.945,1.010,1.000,1030.000
36.950,48.630,-126.397,333.187,9.595,10.065,32.404,-0.693,-1.721,-1.250,288.310,0.994,1025.007,1.012,342.545,97.226,1034.660,1.012,1.000,1031.000
36.951,48.630,-126.407,333.939,9.618,10.085,32.408,-0.687,-1.687,-1.217,288.475,0.995,1025.846,1.013,342.736,97.324,1035.515,1.013,1.000,1032.000
36.953,48.631,-126.417,334.679,9.624,10.092,32.408,-0.737,-2.300,-1.836,288.464,0.996,1031.019,1.019,342.777,97.355,1040.704,1.019,1.000,1033.000
36.954,48.632,-126.426,335.403,9.579,10.068,32.401,-0.783,-2.482,-2.020,288.981,0.996,1033.329,1.022,343.430,97.472,1043.030,1.022,1.000,1034.000
36.956,48.633,-126.435,336.113,9.525,10.028,32.401,-0.794,-1.958,-1.491,289.732,0.998,1030.414,1.018,344.352,97.638,1040.130,1.018,1.000,1035.000
36.957,48.633,-126.445,336.863,9.538,10.021,32.408,-0.749,-1.999,-1.532,289.408,0.997,1029.937,1.017,343.977,97.521,1039.665,1.017,1.000,1036.000
36.958,48.634,-126.455,337.615,9.568,10.038,32.413,-0.713,-1.986,-1.520,289.141,0.997,1029.588,1.017,343.664,97.470,1039.328,1.017,1.000,1037.000
36.960,48.635,-126.465,338.368,9.573,10.046,32.411,-0.637,-2.102,-1.637,289.090,0.997,1030.476,1.018,343.587,97.462,1040.228,1.018,1.000,1038.000
36.961,48.636,-126.475,339.110,9.548,10.034,32.405,-0.640,-2.260,-1.797,289.146,0.996,1031.381,1.019,343.678,97.460,1041.144,1.019,1.000,1039.000
36.963,48.636,-126.485,339.870,9.520,10.012,32.400,-0.629,-2.089,-1.623,289.451,0.997,1030.369,1.018,344.084,97.512,1040.141,1.018,1.000,1040.000
36.964,48.637,-126.494,340.608,9.523,10.011,32.408,-0.531,-2.074,-1.609,289.450,0.997,1030.363,1.018,344.042,97.515,1040.142,1.018,1.000,1041.000
36.965,48.638,-126.504,341.355,9.592,10.054,32.415,-0.370,-2.234,-1.794,289.303,0.998,1032.783,1.020,343.840,97.553,1042.568,1.020,1.000,1042.000
36.967,48.639,-126.514,342.101,9.633,10.094,32.415,-0.374,-2.404,-1.966,289.200,0.998,1034.773,1.023,343.709,97.607,1044.565,1.023,1.000,1043.000
36.968,48.640,-126.523,342.843,9.650,10.118,32.413,-0.468,-2.164,-1.725,289.432,0.999,1033.954,1.021,343.974,97.732,1043.753,1.021,1.000,1044.000
36.969,48.641,-126.533,343.589,9.659,10.131,32.413,-0.501,-2.157,-1.718,289.291,0.999,1033.598,1.021,343.798,97.719,1043.405,1.021,1.000,1045.000
36.971,48.642,-126.543,344.335,9.667,10.140,32.413,-0.500,-2.682,-2.248,289.263,0.999,1038.091,1.027,343.807,97.731,1047.906,1.027,1.000,1046.000
36.972,48.642,-126.553,345.084,9.671,10.146,32.414,-0.439,-2.597,-2.163,289.891,1.001,1039.716,1.028,344.550,97.962,1049.538,1.028,1.000,1047.000
36.974,48.643,-126.562,345.824,9.673,10.149,32.415,-0.428,-1.986,-1.549,290.403,1.003,1036.464,1.024,345.180,98.143,1046.295,1.024,1.000,1048.000
36.975,48.644,-126.572,346.557,9.673,10.151,32.416,-0.346,-1.903,-1.464,290.332,1.003,1035.512,1.022,345.094,98.125,1045.352,1.022,1.000,1049.000
36.976,48.645,-126.582,347.294,9.671,10.153,32.419,NaN,-1.868,-1.429,290.250,1.003,1034.896,1.022,345.006,98.107,1044.744,1.022,1.000,1050.000
36.978,48.646,-126.591,348.046,9.669,10.156,32.424,NaN,-1.498,-1.056,290.358,1.003,1032.194,1.018,345.144,98.145,1042.051,1.018,1.000,1051.000
36.979,48.647,-126.601,348.796,9.672,10.160,32.430,-0.105,-1.529,-1.087,290.170,1.002,1031.905,1.018,344.919,98.097,1041.769,1.018,1.000,1052.000
36.981,48.648,-126.611,349.541,9.677,10.166,32.433,-0.075,-1.372,-0.928,290.054,1.002,1030.315,1.016,344.767,98.066,1040.185,1.016,1.000,1053.000
36.982,48.649,-126.620,350.269,9.678,10.169,32.429,-0.020,-1.463,-1.021,289.886,1.002,1030.483,1.016,344.546,98.015,1040.359,1.016,1.000,1054.000
36.983,48.650,-126.630,351.021,9.672,10.168,32.425,-0.031,-1.529,-1.088,289.830,1.001,1030.643,1.017,344.464,97.990,1040.522,1.017,1.000,1055.000
36.985,48.650,-126.640,351.782,9.669,10.166,32.420,-0.017,-1.437,-0.995,289.924,1.001,1030.121,1.016,344.572,98.010,1040.001,1.016,1.000,1056.000
36.986,48.651,-126.650,352.518,9.668,10.161,32.417,-0.034,-1.311,-0.867,289.829,1.001,1028.695,1.014,344.395,97.960,1038.577,1.014,1.000,1057.000
36.988,48.652,-126.659,353.220,9.669,10.156,32.415,-0.257,-1.882,-1.443,289.599,1.000,1032.627,1.019,344.041,97.858,1042.509,1.019,1.000,1058.000
36.989,48.651,-126.666,353.772,9.670,10.152,32.414,-0.353,-0.893,-0.446,289.914,1.001,1025.604,1.010,344.393,97.930,1035.485,1.010,1.000,1059.000
36.990,48.651,-126.667,353.900,9.665,10.149,32.413,-0.400,-0.351,0.101,289.522,1.000,1019.709,1.003,343.915,97.798,1029.589,1.003,1.000,1060.000
36.992,48.651,-126.667,353.913,9.660,10.145,32.412,-0.445,-0.476,-0.023,288.684,0.997,1017.686,1.002,342.911,97.519,1027.563,1.002,1.000,1061.000
36.993,48.651,-126.667,353.935,9.660,10.143,32.412,-0.505,-0.840,-0.390,288.276,0.995,1019.181,1.004,342.432,97.373,1029.056,1.004,1.000,1062.000
36.994,48.651,-126.667,353.983,9.661,10.144,32.412,-0.553,-0.842,-0.391,288.140,0.995,1018.745,1.003,342.286,97.320,1028.617,1.003,1.000,1063.000
36.996,48.651,-126.667,353.994,9.662,10.145,32.412,-0.621,-0.672,-0.221,288.168,0.995,1017.496,1.002,342.337,97.329,1027.363,1.002,1.000,1064.000
36.997,48.651,-126.667,354.009,9.661,10.145,32.412,-0.637,-0.754,-0.303,288.000,0.994,1017.519,1.002,342.146,97.283,1027.379,1.002,1.000,1065.000
36.999,48.651,-126.667,354.068,9.661,10.144,32.412,-0.680,-0.750,-0.299,287.942,0.994,1017.280,1.002,342.079,97.260,1027.132,1.002,1.000,1066.000
37.000,48.651,-126.667,354.090,9.660,10.144,32.412,-0.692,-0.554,-0.101,287.896,0.994,1015.531,1.000,342.023,97.243,1025.373,1.000,1.000,1067.000
37.001,48.651,-126.667,354.112,9.659,10.143,32.412,-0.654,-0.491,-0.037,287.765,0.993,1014.540,0.998,341.864,97.199,1024.370,0.998,1.000,1068.000
37.003,48.651,-126.667,354.149,9.660,10.143,32.413,-0.637,-0.535,-0.082,287.549,0.993,1014.158,0.998,341.602,97.129,1023.975,0.998,1.000,1069.000
37.004,48.651,-126.667,354.208,9.662,10.143,32.412,-0.651,-0.572,-0.119,287.466,0.992,1014.198,0.998,341.499,97.101,1024.000,0.998,1.000,1070.000
37.006,48.651,-126.668,354.256,9.662,10.139,32.412,-0.619,-0.497,-0.044,287.508,0.993,1013.745,0.998,341.518,97.100,1023.530,0.998,1.000,1071.000
37.007,48.651,-126.668,354.267,9.662,10.139,32.412,-0.561,-0.549,-0.096,287.427,0.992,1013.859,0.998,341.427,97.077,1023.626,0.998,1.000,1072.000
37.008,48.651,-126.667,354.281,9.660,10.139,32.412,-0.520,-0.462,-0.008,287.437,0.992,1013.157,0.997,341.446,97.071,1022.904,0.997,1.000,1073.000
37.010,48.650,-126.667,354.307,9.660,10.139,32.411,-0.525,-0.368,0.087,287.352,0.992,1012.099,0.996,341.349,97.044,1021.824,0.996,1.000,1074.000
37.011,48.651,-126.667,354.386,9.661,10.141,32.411,-0.542,-0.580,-0.127,287.150,0.991,1013.126,0.997,341.103,96.983,1022.828,0.997,1.000,1075.000
37.012,48.651,-126.667,354.412,9.665,10.142,32.411,-0.579,-0.852,-0.402,287.135,0.991,1015.348,1.000,341.083,96.985,1025.025,1.000,1.000,1076.000
37.014,48.651,-126.667,354.545,9.667,10.146,32.412,-0.600,-0.810,-0.360,287.332,0.992,1015.741,1.000,341.335,97.060,1025.392,1.000,1.000,1077.000
37.015,48.651,-126.667,354.570,9.664,10.142,32.412,-0.515,-0.587,-0.134,287.527,0.993,1014.559,0.999,341.539,97.110,1024.183,0.999,1.000,1078.000
37.017,48.650,-126.667,354.615,9.662,10.136,32.412,-0.479,-0.075,0.382,287.531,0.993,1010.429,0.993,341.483,97.092,1020.024,0.993,1.000,1079.000
37.018,48.650,-126.667,354.648,9.660,10.131,32.412,-0.500,-0.133,0.324,287.197,0.991,1009.684,0.993,341.041,96.964,1019.250,0.993,1.000,1080.000
37.019,48.650,-126.667,354.659,9.660,10.129,32.412,-0.546,-0.230,0.226,286.934,0.990,1009.526,0.993,340.695,96.866,1019.061,0.993,1.000,1081.000
37.021,48.650,-126.667,354.659,9.662,10.129,32.412,-0.553,-0.230,0.226,286.850,0.990,1009.278,0.993,340.568,96.830,1018.781,0.993,1.000,1082.000
37.022,48.650,-126.667,354.667,9.664,10.130,32.412,-0.543,-0.306,0.150,286.739,0.990,1009.538,0.993,340.413,96.796,1019.009,0.993,1.000,1083.000
37.024,48.650,-126.667,354.704,9.668,10.132,32.412,-0.578,-0.330,0.126,286.743,0.990,1009.827,0.993,340.402,96.800,1019.266,0.993,1.000,1084.000
