265.414,50.032,-142.384,2303.680,14.401,14.652,32.280,1.700,1.650,1.977,268.587,1.019,1027.831,1.003,317.785,100.082,1032.604,1.003,8219.000
265.415,50.032,-142.375,2304.336,14.412,14.663,32.280,1.719,1.636,1.963,268.519,1.019,1027.907,1.003,317.725,100.081,1032.676,1.003,8220.000
265.417,50.031,-142.366,2304.997,14.418,14.670,32.280,1.718,1.637,1.964,268.480,1.019,1027.883,1.003,317.702,100.084,1032.648,1.003,8221.000
265.418,50.031,-142.357,2305.644,14.422,14.673,32.281,1.695,1.644,1.971,268.481,1.019,1027.906,1.003,317.712,100.093,1032.668,1.003,8222.000
265.419,50.030,-142.348,2306.312,14.423,14.675,32.280,1.666,1.662,1.990,268.482,1.019,1027.795,1.003,317.719,100.098,1032.555,1.003,8223.000
265.421,50.029,-142.339,2306.978,14.423,14.675,32.280,1.654,1.647,1.974,268.477,1.019,1027.879,1.003,317.740,100.097,1032.638,1.003,8224.000
265.422,50.029,-142.330,2307.635,14.421,14.674,32.279,1.655,1.640,1.968,268.450,1.019,1027.795,1.003,317.697,100.084,1032.552,1.003,8225.000
265.424,50.028,-142.321,2308.292,14.419,14.673,32.280,1.647,1.600,1.928,268.407,1.019,1027.907,1.003,317.637,100.064,1032.664,1.003,8226.000
265.425,50.028,-142.312,2308.945,14.419,14.672,32.280,1.639,1.578,1.905,268.331,1.019,1027.797,1.003,317.530,100.034,1032.553,1.003,8227.000
265.426,50.027,-142.303,2309.640,14.421,14.674,32.281,1.639,1.544,1.872,268.252,1.019,1027.803,1.003,317.410,100.006,1032.560,1.003,8228.000
265.428,50.026,-142.294,2310.289,14.428,14.679,32.281,1.638,1.489,1.816,268.141,1.018,1027.956,1.003,317.272,99.972,1032.713,1.003,8229.000
265.429,50.026,-142.285,2310.976,14.433,14.685,32.282,1.632,1.451,1.778,268.036,1.018,1027.978,1.003,317.146,99.943,1032.737,1.003,8230.000
265.431,50.025,-142.276,2311.657,14.437,14.688,32.282,1.608,1.425,1.752,267.944,1.018,1027.912,1.003,317.027,99.916,1032.674,1.003,8231.000
265.432,50.025,-142.266,2312.328,14.439,14.690,32.282,1.571,1.387,1.714,267.817,1.017,1027.771,1.003,316.871,99.870,1032.536,1.003,8232.000
265.433,50.024,-142.258,2312.996,14.441,14.691,32.282,1.539,1.379,1.706,267.738,1.017,1027.568,1.003,316.759,99.842,1032.338,1.003,8233.000
265.435,50.023,-142.248,2313.683,14.442,14.693,32.281,1.502,1.350,1.675,267.672,1.017,1027.571,1.003,316.717,99.820,1032.346,1.003,8234.000
265.436,50.022,-142.239,2314.356,14.441,14.691,32.280,1.517,1.340,1.665,267.664,1.017,1027.582,1.003,316.544,99.806,1032.363,1.003,8235.000
265.438,50.022,-142.230,2315.026,14.434,14.688,32.279,1.551,1.308,1.633,267.635,1.016,1027.579,1.003,316.341,99.781,1032.367,1.003,8236.000
265.439,50.021,-142.221,2315.704,14.422,14.683,32.278,1.583,1.308,1.634,267.698,1.016,1027.573,1.003,316.652,99.805,1032.367,1.003,8237.000
265.440,50.020,-142.212,2316.374,14.409,14.678,32.278,1.587,1.326,1.652,267.747,1.016,1027.353,1.003,316.808,99.822,1032.153,1.003,8238.000
265.442,50.020,-142.203,2317.049,14.401,14.673,32.277,1.569,1.333,1.659,267.784,1.016,1027.260,1.003,316.893,99.826,1032.065,1.003,8239.000
265.443,50.019,-142.194,2317.698,14.395,14.666,32.276,1.548,1.343,1.670,267.807,1.016,1027.149,1.003,316.922,99.825,1031.958,1.003,8240.000
265.444,50.018,-142.185,2318.366,14.392,14.659,32.276,1.524,1.355,1.681,267.854,1.016,1027.162,1.003,316.957,99.827,1031.973,1.003,8241.000
265.446,50.018,-142.177,2319.026,14.390,14.652,32.276,1.509,1.366,1.693,267.900,1.017,1027.208,1.003,317.027,99.829,1032.020,1.003,8242.000
265.447,50.017,-142.167,2319.701,14.390,14.649,32.275,1.512,1.384,1.711,267.949,1.017,1027.256,1.003,317.073,99.839,1032.068,1.003,8243.000
265.449,50.017,-142.158,2320.384,14.390,14.646,32.274,1.518,1.414,1.741,268.005,1.017,1027.221,1.003,317.159,99.857,1032.033,1.003,8244.000
265.450,50.016,-142.149,2321.044,14.386,14.641,32.273,1.527,1.432,1.759,268.068,1.017,1027.218,1.003,317.269,99.874,1032.030,1.003,8245.000
265.451,50.016,-142.140,2321.716,14.378,14.634,32.271,1.550,1.476,1.803,268.164,1.017,1027.075,1.003,317.426,99.899,1031.886,1.003,8246.000
265.453,50.015,-142.131,2322.400,14.369,14.627,32.270,1.576,1.519,1.847,268.263,1.018,1026.920,1.002,317.566,99.920,1031.731,1.002,8247.000
265.454,50.014,-142.122,2323.075,14.363,14.620,32.269,1.569,1.539,1.867,268.340,1.018,1026.914,1.002,317.651,99.935,1031.725,1.002,8248.000
265.456,50.014,-142.113,2323.737,14.359,14.615,32.268,1.537,1.536,1.864,268.383,1.018,1027.019,1.002,317.683,99.939,1031.829,1.002,8249.000
265.457,50.013,-142.104,2324.416,14.357,14.613,32.268,1.516,1.498,1.826,268.389,1.018,1027.305,1.003,317.674,99.935,1032.114,1.003,8250.000
265.458,50.013,-142.094,2325.112,14.358,14.613,32.267,1.487,1.470,1.797,268.359,1.018,1027.419,1.003,317.625,99.923,1032.229,1.003,8251.000
265.460,50.012,-142.085,2325.789,14.359,14.614,32.267,1.466,1.457,1.785,268.269,1.017,1027.205,1.003,317.471,99.888,1032.015,1.003,8252.000
265.461,50.011,-142.076,2326.492,14.360,14.616,32.266,1.446,1.445,1.773,268.185,1.017,1027.004,1.003,317.343,99.860,1031.813,1.003,8253.000
265.463,50.011,-142.066,2327.156,14.363,14.618,32.265,1.420,1.470,1.798,268.150,1.017,1026.720,1.002,317.303,99.850,1031.529,1.002,8254.000
265.464,50.010,-142.058,2327.816,14.363,14.618,32.264,1.392,1.466,1.794,268.177,1.017,1026.848,1.002,317.366,99.861,1031.657,1.002,8255.000
265.465,50.009,-142.048,2328.508,14.362,14.617,32.263,1.399,1.452,1.779,268.226,1.017,1027.112,1.003,317.417,99.877,1031.921,1.003,8256.000
265.467,50.009,-142.039,2329.197,14.358,14.614,32.261,1.403,1.459,1.787,268.283,1.017,1027.183,1.003,317.506,99.893,1031.991,1.003,8257.000
265.468,50.008,-142.030,2329.881,14.354,14.611,32.261,NaN,1.483,1.811,268.345,1.017,1027.151,1.003,317.578,99.912,1031.958,1.003,8258.000
265.469,50.007,-142.021,2330.562,14.352,14.608,32.261,NaN,1.518,1.847,268.417,1.018,1027.096,1.003,317.693,99.935,1031.902,1.003,8259.000
265.471,50.007,-142.011,2331.241,14.348,14.605,32.261,1.451,1.548,1.877,268.538,1.018,1027.249,1.003,317.885,99.977,1032.055,1.003,8260.000
265.472,50.006,-142.002,2331.916,14.345,14.602,32.261,1.507,1.565,1.894,268.607,1.018,1027.315,1.003,317.956,99.998,1032.121,1.003,8261.000
265.474,50.006,-141.993,2332.593,14.343,14.599,32.261,1.577,1.593,1.922,268.669,1.019,1027.283,1.003,318.021,100.016,1032.090,1.003,8262.000
265.475,50.005,-141.984,2333.286,14.341,14.597,32.262,1.621,1.635,1.963,268.725,1.019,1027.129,1.002,318.090,100.034,1031.937,1.002,8263.000
265.476,50.004,-141.975,2333.961,14.339,14.594,32.262,1.657,1.669,1.998,268.773,1.019,1026.999,1.002,318.177,100.046,1031.808,1.002,8264.000
265.478,50.004,-141.965,2334.643,14.337,14.592,32.263,1.651,1.641,1.970,268.753,1.019,1027.109,1.002,317.989,100.014,1031.920,1.002,8265.000
265.479,50.003,-141.956,2335.320,14.336,14.591,32.264,1.585,1.575,1.903,268.645,1.018,1027.219,1.003,317.686,99.959,1032.031,1.003,8266.000
265.481,50.002,-141.947,2336.015,14.337,14.596,32.264,1.521,1.506,1.834,268.542,1.018,1027.397,1.003,317.665,99.939,1032.210,1.003,8267.000
265.482,50.002,-141.937,2336.715,14.348,14.606,32.265,1.460,1.477,1.805,268.400,1.018,1027.300,1.003,317.490,99.911,1032.113,1.003,8268.000
265.483,50.001,-141.928,2337.420,14.352,14.615,32.264,1.443,1.508,1.836,268.416,1.018,1027.208,1.003,317.622,99.946,1032.023,1.003,8269.000
265.485,50.000,-141.918,2338.116,14.344,14.613,32.263,1.502,1.569,1.898,268.543,1.018,1027.038,1.002,317.888,99.998,1031.852,1.002,8270.000
265.486,49.999,-141.909,2338.818,14.339,14.605,32.262,1.525,1.603,1.931,268.673,1.018,1027.134,1.002,318.050,100.034,1031.948,1.002,8271.000
265.488,49.999,-141.900,2339.513,14.334,14.596,32.261,1.515,1.630,1.957,268.792,1.019,1027.274,1.002,318.151,100.060,1032.086,1.002,8272.000
265.489,49.998,-141.890,2340.202,14.330,14.588,32.261,1.528,1.661,1.989,268.903,1.019,1027.367,1.003,318.306,100.086,1032.176,1.003,8273.000
265.490,49.997,-141.881,2340.907,14.325,14.581,32.260,1.560,1.712,2.040,269.060,1.020,1027.444,1.002,318.508,100.134,1032.251,1.002,8274.000
