187.496,63.524,-61.771,501.123,1.462,2.895,29.914,2.213,4.987,5.485,385.318,1.089,1055.541,1.038,446.905,105.992,1071.769,1.038,2.000
187.497,63.529,-61.762,501.847,1.331,2.771,29.854,2.273,5.077,5.554,386.589,1.089,1054.252,1.036,448.311,105.971,1070.556,1.036,2.000
187.499,63.534,-61.753,502.559,1.176,2.622,29.789,2.328,5.115,5.645,388.051,1.088,1053.229,1.035,449.951,105.932,1069.607,1.035,2.000
187.500,63.539,-61.745,503.293,1.038,2.482,29.731,2.413,5.153,5.690,389.332,1.087,1052.155,1.034,451.391,105.869,1068.604,1.034,2.000
187.501,63.545,-61.736,504.020,0.918,2.361,29.697,2.487,5.137,5.685,390.240,1.086,1051.162,1.033,452.448,105.772,1067.680,1.033,2.000
187.503,63.550,-61.727,504.752,0.760,2.213,29.688,2.533,5.116,5.663,391.441,1.085,1050.155,1.032,453.972,105.699,1066.741,1.032,2.000
187.504,63.555,-61.718,505.463,0.543,2.005,29.703,2.585,5.060,5.568,392.934,1.083,1048.708,1.031,455.992,105.567,1065.361,1.031,2.000
187.506,63.560,-61.711,506.100,0.337,1.797,29.727,2.597,4.912,5.415,394.130,1.081,1047.517,1.030,457.686,105.357,1064.231,1.030,2.000
187.507,63.564,-61.704,506.729,0.166,1.622,29.748,2.588,4.772,5.308,395.107,1.079,1046.656,1.030,459.078,105.170,1063.426,1.030,2.000
187.508,63.569,-61.697,507.354,0.038,1.489,29.760,2.580,4.664,5.113,395.896,1.077,1046.109,1.029,460.163,105.036,1062.930,1.029,2.000
187.510,63.574,-61.690,507.982,-0.053,1.398,29.760,2.571,4.489,4.982,396.556,1.076,1046.740,1.030,461.017,104.970,1063.608,1.030,2.000
187.511,63.578,-61.682,508.609,-0.109,1.343,29.751,2.536,4.337,4.886,397.024,1.076,1047.610,1.031,461.575,104.943,1064.520,1.031,2.000
187.512,63.583,-61.676,509.223,-0.146,1.297,29.740,2.519,4.304,4.839,397.469,1.076,1047.932,1.032,462.091,104.927,1064.877,1.032,2.000
187.514,63.587,-61.668,509.843,-0.178,1.273,29.735,2.502,4.211,4.741,397.655,1.076,1048.237,1.032,462.308,104.910,1065.213,1.032,2.000
187.515,63.592,-61.661,510.466,-0.207,1.246,29.731,2.497,4.163,4.654,397.793,1.075,1048.133,1.032,462.477,104.869,1065.135,1.032,2.000
187.517,63.597,-61.654,511.092,-0.228,1.226,29.727,2.509,4.048,4.570,397.832,1.075,1048.571,1.033,462.521,104.823,1065.592,1.033,2.000
187.518,63.598,-61.647,511.481,-0.249,1.204,29.731,2.523,3.927,4.484,397.888,1.074,1049.139,1.033,462.618,104.783,1066.173,1.033,2.000
187.519,63.598,-61.641,511.740,-0.268,1.185,29.732,NaN,3.922,4.435,398.049,1.074,1049.066,1.033,462.821,104.774,1066.106,1.033,2.000
187.521,63.599,-61.636,511.983,-0.271,1.180,29.730,2.601,3.917,4.446,398.207,1.074,1049.425,1.033,463.009,104.803,1066.464,1.033,2.000
187.522,63.599,-61.632,512.219,-0.272,1.176,29.730,2.649,3.896,4.466,398.385,1.074,1050.068,1.034,463.224,104.840,1067.099,1.034,2.000
187.524,63.599,-61.627,512.450,-0.274,1.169,29.735,2.689,3.915,4.472,398.508,1.075,1050.201,1.034,463.389,104.859,1067.219,1.034,2.000
187.525,63.600,-61.623,512.678,-0.275,1.164,29.739,2.717,3.955,4.478,398.577,1.075,1050.061,1.034,463.490,104.866,1067.061,1.034,2.000
187.526,63.600,-61.618,512.907,-0.278,1.159,29.744,2.732,3.936,4.461,398.631,1.075,1050.339,1.034,463.575,104.871,1067.317,1.034,2.000
187.528,63.600,-61.614,513.130,-0.283,1.151,29.753,2.742,3.920,4.448,398.676,1.075,1050.516,1.035,463.663,104.870,1067.467,1.035,2.000
187.529,63.600,-61.609,513.354,-0.291,1.144,29.759,2.741,3.889,4.438,398.775,1.075,1050.873,1.035,463.810,104.882,1067.796,1.035,2.000
187.531,63.601,-61.605,513.577,-0.326,1.142,29.762,2.741,3.855,4.349,398.923,1.074,1050.539,1.035,463.995,104.917,1067.431,1.035,2.000
187.532,63.601,-61.600,513.784,-0.324,1.138,29.763,NaN,3.847,4.373,399.067,1.075,1051.091,1.035,464.172,104.948,1067.944,1.035,2.000
187.533,63.601,-61.596,513.998,-0.317,1.135,29.764,2.746,3.860,4.405,399.150,1.075,1051.422,1.035,464.276,104.962,1068.231,1.035,2.000
187.535,63.601,-61.591,514.250,-0.314,1.132,29.764,2.738,3.869,4.405,399.216,1.076,1051.607,1.036,464.356,104.970,1068.369,1.036,2.000
187.536,63.602,-61.586,514.496,-0.312,1.126,29.761,2.722,3.927,4.469,399.449,1.076,1051.795,1.036,464.628,105.014,1068.511,1.036,2.000
187.537,63.602,-61.582,514.704,-0.313,1.119,29.755,NaN,4.035,4.566,399.839,1.077,1051.889,1.035,465.077,105.097,1068.566,1.035,2.000
187.539,63.602,-61.579,514.850,-0.310,1.117,29.742,2.756,4.143,4.698,400.322,1.078,1052.310,1.036,465.607,105.210,1068.955,1.036,2.000
187.540,63.602,-61.577,514.959,-0.302,1.119,29.722,2.795,4.285,4.860,400.935,1.080,1052.864,1.036,466.257,105.363,1069.490,1.036,2.000
187.542,63.602,-61.575,515.050,-0.296,1.122,29.703,2.844,4.464,4.995,401.450,1.081,1052.825,1.035,466.795,105.492,1069.446,1.035,2.000
187.543,63.602,-61.573,515.132,-0.288,1.124,29.684,NaN,4.622,5.119,401.843,1.083,1052.654,1.035,467.187,105.588,1069.284,1.035,2.000
187.544,63.603,-61.572,515.202,-0.282,1.125,29.671,NaN,4.700,5.216,402.129,1.083,1052.867,1.035,467.478,105.655,1069.525,1.035,2.000
187.546,63.603,-61.571,515.270,-0.282,1.122,29.664,NaN,4.756,5.290,402.335,1.084,1052.922,1.035,467.697,105.698,1069.624,1.035,2.000
187.547,63.603,-61.569,515.370,-0.281,1.120,29.657,NaN,4.778,5.337,402.494,1.084,1053.146,1.035,467.864,105.728,1069.914,1.035,2.000
187.549,63.604,-61.566,515.547,-0.281,1.119,29.651,NaN,4.896,5.430,402.679,1.085,1052.628,1.034,468.059,105.770,1069.481,1.034,2.000
187.550,63.604,-61.562,515.749,-0.283,1.116,29.652,3.089,4.967,5.506,402.844,1.085,1052.455,1.034,468.259,105.807,1069.413,1.034,2.000
187.551,63.604,-61.559,515.903,-0.288,1.111,29.658,3.080,4.992,5.549,402.930,1.085,1052.390,1.034,468.386,105.819,1069.477,1.034,2.000
187.553,63.604,-61.556,516.039,-0.292,1.105,29.662,NaN,5.038,5.592,402.994,1.086,1052.096,1.033,468.482,105.823,1069.332,1.033,2.000
187.554,63.605,-61.554,516.144,-0.298,1.098,29.665,NaN,5.053,5.617,403.054,1.086,1051.972,1.033,468.571,105.823,1069.380,1.033,2.000
187.556,63.605,-61.552,516.229,-0.303,1.092,29.671,NaN,5.092,5.627,403.049,1.085,1051.530,1.033,468.591,105.811,1069.130,1.033,2.000
187.557,63.605,-61.551,516.302,-0.306,1.088,29.675,NaN,5.062,5.629,403.022,1.085,1051.655,1.033,468.581,105.797,1069.468,1.033,2.000
187.558,63.605,-61.547,516.495,-0.307,1.086,29.676,3.104,5.135,5.660,403.097,1.086,1051.224,1.032,468.673,105.811,1069.272,1.032,2.000
187.560,63.605,-61.542,516.721,-0.307,1.083,29.677,3.128,5.200,5.731,403.245,1.086,1051.093,1.032,468.855,105.843,1069.398,1.032,2.000
187.561,63.606,-61.538,516.960,-0.306,1.080,29.677,NaN,5.267,5.792,403.359,1.086,1050.892,1.032,468.994,105.866,1069.476,1.032,2.000
187.563,63.607,-61.533,517.218,-0.321,1.075,29.683,3.224,5.268,5.812,403.463,1.086,1050.751,1.032,469.142,105.886,1069.638,1.032,2.000
187.564,63.609,-61.537,517.479,-0.393,1.079,29.691,3.241,5.012,5.580,403.369,1.084,1050.568,1.032,469.062,105.880,1069.780,1.032,2.000
187.565,63.609,-61.542,517.753,-0.453,1.079,29.697,3.242,4.796,5.386,403.270,1.082,1050.375,1.032,468.959,105.856,1069.924,1.032,2.000
187.567,63.609,-61.548,518.046,-0.498,1.080,29.703,3.218,4.611,5.209,403.106,1.080,1050.182,1.033,468.784,105.818,1070.074,1.033,2.000
187.568,63.609,-61.554,518.353,-0.532,1.080,29.708,3.196,4.571,5.075,402.969,1.079,1049.177,1.032,468.645,105.786,1069.412,1.032,2.000
187.569,63.610,-61.560,518.662,-0.556,1.082,29.715,NaN,4.432,4.972,402.850,1.078,1049.358,1.032,468.528,105.766,1069.934,1.032,2.000
187.571,63.610,-61.567,518.971,-0.576,1.084,29.728,3.094,4.361,4.875,402.560,1.076,1048.663,1.031,468.231,105.706,1069.572,1.031,2.000
187.572,63.610,-61.573,519.280,-0.591,1.086,29.744,3.071,4.209,4.739,402.062,1.075,1048.254,1.031,467.699,105.590,1069.489,1.031,2.000
187.574,63.610,-61.579,519.593,-0.601,1.088,29.756,NaN,4.103,4.597,401.504,1.073,1047.405,1.031,467.080,105.459,1068.955,1.031,2.000
187.575,63.611,-61.585,519.906,-0.607,1.093,29.765,3.035,3.936,4.485,400.998,1.072,1047.320,1.031,466.511,105.343,1069.172,1.031,2.000
187.576,63.611,-61.592,520.221,-0.615,1.094,29.779,3.019,3.847,4.386,400.570,1.070,1046.761,1.031,466.055,105.244,1068.902,1.031,2.000
187.578,63.611,-61.598,520.533,-0.635,1.085,29.807,3.008,3.758,4.316,400.272,1.069,1046.325,1.031,465.813,105.163,1068.739,1.031,2.000
187.579,63.612,-61.604,520.839,-0.662,1.064,29.841,2.995,3.723,4.278,400.183,1.069,1045.845,1.030,465.847,105.108,1068.516,1.030,2.000
187.581,63.612,-61.610,521.144,-0.686,1.042,29.871,2.982,3.691,4.246,400.094,1.068,1045.387,1.030,465.870,105.050,1068.297,1.030,2.000
187.582,63.612,-61.617,521.452,-0.710,1.017,29.897,2.978,3.673,4.222,400.004,1.067,1044.807,1.030,465.881,104.979,1067.940,1.030,2.000
187.583,63.612,-61.623,521.761,-0.728,1.000,29.913,2.982,3.618,4.155,399.787,1.066,1044.264,1.029,465.695,104.888,1067.601,1.029,2.000
187.585,63.613,-61.629,522.066,-0.743,0.985,29.922,2.985,3.559,4.069,399.530,1.065,1043.670,1.029,465.440,104.786,1067.194,1.029,2.000
187.586,63.613,-61.635,522.371,-0.759,0.967,29.926,2.995,3.508,3.982,399.355,1.064,1043.191,1.028,465.263,104.696,1066.884,1.028,2.000
187.588,63.614,-61.641,522.676,-0.752,0.968,29.909,2.988,3.436,3.929,399.101,1.064,1043.150,1.028,464.901,104.618,1066.996,1.028,2.000
187.589,63.614,-61.647,522.983,-0.742,0.979,29.892,2.941,3.406,3.902,398.930,1.063,1043.114,1.028,464.625,104.587,1067.097,1.028,2.000
187.590,63.614,-61.653,523.274,-0.727,0.993,29.874,2.870,3.376,3.908,398.812,1.063,1043.316,1.029,464.408,104.579,1067.420,1.029,2.000
187.592,63.615,-61.659,523.565,-0.710,1.008,29.855,2.807,3.379,3.928,398.694,1.063,1043.325,1.029,464.185,104.571,1067.534,1.029,2.000
187.593,63.615,-61.665,523.867,-0.697,1.026,29.837,2.755,3.330,3.901,398.418,1.063,1043.206,1.029,463.778,104.533,1067.505,1.029,2.000
187.594,63.616,-61.671,524.173,-0.693,1.034,29.823,NaN,3.304,3.866,398.193,1.062,1042.835,1.028,463.452,104.482,1067.213,1.028,2.000
187.596,63.616,-61.677,524.477,-0.697,1.032,29.814,2.653,3.259,3.808,397.962,1.062,1042.397,1.028,463.147,104.407,1066.846,1.028,2.000
187.597,63.618,-61.679,524.684,-0.711,1.024,29.810,2.631,3.204,3.731,397.741,1.061,1041.811,1.028,462.882,104.325,1066.325,1.028,2.000
187.599,63.619,-61.679,524.850,-0.746,0.998,29.815,2.613,3.184,3.661,397.713,1.060,1040.931,1.027,462.891,104.252,1065.508,1.027,2.000
187.600,63.620,-61.676,525.059,-0.783,0.966,29.820,2.587,3.231,3.578,397.734,1.059,1039.552,1.025,462.962,104.174,1064.186,1.025,2.000
187.601,63.622,-61.672,525.319,-0.818,0.930,29.826,2.564,3.203,3.526,397.805,1.058,1038.992,1.025,463.101,104.101,1063.683,1.025,2.000
187.603,63.624,-61.667,525.605,-0.842,0.904,29.832,2.533,3.177,3.496,397.813,1.057,1038.584,1.024,463.154,104.037,1063.331,1.024,2.000
187.604,63.625,-61.663,525.898,-0.856,0.888,29.838,2.507,3.094,3.468,397.732,1.056,1038.684,1.025,463.097,103.979,1063.487,1.025,2.000
187.606,63.627,-61.658,526.200,-0.867,0.877,29.844,2.485,3.054,3.420,397.656,1.056,1038.539,1.025,463.040,103.935,1063.400,1.025,2.000
187.607,63.629,-61.653,526.505,-0.878,0.869,29.851,2.481,2.997,3.393,397.643,1.056,1038.721,1.025,463.057,103.915,1063.642,1.025,2.000
187.608,63.630,-61.648,526.800,-0.887,0.859,29.857,2.504,3.042,3.396,397.763,1.056,1038.434,1.025,463.231,103.926,1063.418,1.025,2.000
187.610,63.632,-61.644,527.090,-0.897,0.852,29.862,2.540,3.023,3.390,397.853,1.056,1038.598,1.025,463.360,103.932,1063.645,1.025,2.000
187.611,63.634,-61.637,527.495,-0.903,0.845,29.869,2.616,2.998,3.374,397.862,1.056,1038.697,1.025,463.402,103.923,1063.810,1.025,2.000
187.613,63.637,-61.627,528.110,-0.913,0.838,29.878,2.687,2.973,3.415,397.881,1.055,1038.710,1.025,463.461,103.916,1063.889,1.025,2.000
187.614,63.641,-61.617,528.746,-0.928,0.827,29.881,2.748,3.001,3.447,397.925,1.055,1038.204,1.024,463.536,103.901,1063.449,1.024,2.000
187.615,63.644,-61.606,529.397,-0.948,0.811,29.884,2.797,3.011,3.464,397.968,1.055,1037.651,1.024,463.615,103.872,1062.963,1.024,2.000
187.617,63.648,-61.596,530.048,-0.986,0.783,29.886,2.839,2.971,3.448,398.098,1.054,1037.250,1.023,463.802,103.832,1062.628,1.023,2.000
187.618,63.652,-61.586,530.700,-1.024,0.747,29.875,2.871,3.060,3.432,398.271,1.053,1035.774,1.022,464.003,103.774,1061.216,1.022,2.000
187.619,63.655,-61.575,531.364,-1.051,0.719,29.858,2.891,3.116,3.459,398.394,1.053,1034.743,1.021,464.113,103.715,1060.246,1.021,2.000
187.621,63.659,-61.565,532.036,-1.079,0.689,29.840,NaN,3.067,3.398,398.270,1.051,1033.840,1.020,463.929,103.588,1059.401,1.020,2.000
187.622,63.663,-61.554,532.705,-1.095,0.677,29.825,2.947,2.986,3.325,397.951,1.050,1033.072,1.019,463.510,103.460,1058.688,1.019,2.000
187.624,63.667,-61.546,533.356,-1.106,0.667,29.813,2.973,2.896,3.240,397.512,1.048,1032.232,1.019,462.961,103.309,1057.901,1.019,2.000
187.625,63.672,-61.536,534.036,-1.127,0.650,29.809,2.989,2.811,3.172,397.182,1.047,1031.404,1.018,462.568,103.173,1057.124,1.018,2.000
187.626,63.677,-61.529,534.703,-1.147,0.635,29.811,2.993,2.719,3.125,396.912,1.046,1030.880,1.018,462.269,103.062,1056.649,1.018,2.000
187.628,63.682,-61.522,535.357,-1.176,0.613,29.808,NaN,2.687,3.101,396.797,1.045,1029.996,1.017,462.143,102.972,1055.811,1.017,2.000
187.629,63.686,-61.514,536.015,-1.203,0.591,29.808,NaN,2.685,3.072,396.685,1.044,1028.934,1.016,462.043,102.882,1054.792,1.016,2.000
187.631,63.691,-61.506,536.635,-1.245,0.558,29.816,NaN,2.679,3.051,396.818,1.043,1028.181,1.015,462.247,102.834,1054.081,1.015,2.000
187.632,63.695,-61.498,537.238,-1.296,0.516,29.816,NaN,2.696,3.106,397.273,1.043,1027.801,1.015,462.801,102.837,1053.737,1.015,2.000
187.633,63.699,-61.491,537.835,-1.342,0.471,29.793,NaN,2.863,3.255,398.503,1.044,1028.225,1.015,464.253,103.028,1054.192,1.015,2.000
187.635,63.703,-61.483,538.438,-1.372,0.435,29.757,NaN,3.220,3.584,400.364,1.048,1029.102,1.015,466.375,103.394,1055.095,1.015,2.000
187.636,63.708,-61.475,539.077,-1.395,0.409,29.719,3.492,3.629,3.917,402.119,1.052,1029.460,1.015,468.354,103.757,1055.475,1.015,2.000
187.637,63.712,-61.466,539.726,-1.403,0.394,29.695,3.552,3.847,4.172,403.429,1.055,1030.760,1.016,469.858,104.041,1056.793,1.016,2.000
187.639,63.717,-61.457,540.356,-1.368,0.411,29.692,3.593,4.026,4.425,404.225,1.058,1032.373,1.017,470.743,104.293,1058.418,1.017,2.000
187.640,63.721,-61.450,540.992,-1.326,0.453,29.678,3.614,4.278,4.713,404.855,1.060,1033.104,1.017,471.396,104.561,1059.161,1.017,2.000
187.642,63.726,-61.442,541.625,-1.290,0.491,29.643,NaN,4.449,4.968,405.459,1.063,1034.092,1.018,471.941,104.795,1060.157,1.018,2.000
187.643,63.730,-61.435,542.241,-1.258,0.524,29.585,3.671,4.728,5.171,406.012,1.065,1033.781,1.017,472.348,104.981,1059.851,1.017,2.000
187.644,63.734,-61.428,542.778,-1.222,0.559,29.517,3.722,4.911,5.337,406.393,1.066,1033.837,1.016,472.498,105.122,1059.909,1.016,2.000
187.646,63.737,-61.421,543.267,-1.182,0.596,29.442,3.746,5.049,5.432,406.515,1.067,1033.632,1.016,472.342,105.193,1059.703,1.016,2.000
187.647,63.740,-61.415,543.742,-1.133,0.640,29.357,3.760,5.120,5.511,406.262,1.067,1033.159,1.015,471.688,105.178,1059.227,1.015,2.000
187.649,63.744,-61.408,544.282,-1.083,0.693,29.268,3.780,5.075,5.542,405.758,1.067,1032.962,1.015,470.721,105.116,1059.026,1.015,2.000
187.650,63.748,-61.401,544.841,-1.039,0.741,29.178,3.780,5.056,5.537,405.190,1.066,1032.191,1.014,469.676,105.022,1058.248,1.014,2.000
187.651,63.751,-61.392,545.397,-1.010,0.773,29.078,3.781,5.110,5.513,404.758,1.065,1030.686,1.013,468.775,104.916,1056.734,1.013,2.000
187.653,63.755,-61.384,545.964,-1.000,0.790,28.976,3.810,5.141,5.455,404.423,1.063,1029.060,1.011,467.979,104.789,1055.097,1.011,2.000
187.654,63.758,-61.375,546.546,-1.013,0.783,28.888,3.841,5.342,5.543,404.279,1.062,1026.028,1.008,467.512,104.662,1052.051,1.008,2.000
187.656,63.762,-61.366,547.137,-1.046,0.754,28.807,3.876,5.397,5.669,404.452,1.060,1024.451,1.006,467.437,104.562,1050.455,1.006,2.000
187.657,63.765,-61.357,547.720,-1.076,0.721,28.712,3.907,5.512,5.795,404.605,1.059,1022.380,1.004,467.309,104.436,1048.359,1.004,2.000
187.658,63.769,-61.349,548.303,-1.095,0.694,28.614,3.922,5.508,5.853,404.455,1.058,1020.708,1.002,466.800,104.245,1046.655,1.002,2.000
187.660,63.773,-61.340,548.885,-1.104,0.683,28.526,NaN,5.522,5.850,403.912,1.055,1018.232,1.000,465.857,104.003,1044.143,1.000,2.000
187.661,63.776,-61.331,549.458,-1.143,0.656,28.492,3.960,5.382,5.683,403.697,1.053,1017.423,0.999,465.532,103.845,1043.294,0.999,2.000
